image,source_document,page,source_type,width,height,orientation_angle,orientation_confidence,orientation_applied,perspective_confidence,perspective_corrected,crop_applied,blur_score,brightness,contrast,skew_angle,skew_confidence,deskew_applied,contrast_enhanced,quality_status,quality_flags,sha256,content_ratio,duplicate_group,audit_status,audit_flags,include_in_training
images/1-6-compensation-0026949-202606-q1__p004.png,1-6 Compensation_0026949_202606_Q1.pdf,4,pdf,1655,2128,0,0.926,no,0.000,no,no,9918.623,238.514,45.613,-0.000,1.000,no,no,accepted,,fd5a4f8d633240f0b9eeb24f0a3cb0f349ccee254a58bff354b3c61a6654ce09,0.094301,,keep,,yes
images/1-6-compensation-0026949-202606-q1__p005.png,1-6 Compensation_0026949_202606_Q1.pdf,5,pdf,1655,2128,0,0.924,no,0.000,no,no,9838.732,238.554,45.610,-0.000,0.996,no,no,accepted,,ac07d295325dfe3492f5970af89e615dae977aa6e2a8cbd51e8fabb55774c69c,0.095886,,keep,,yes
images/1-6-compensation-0026949-202606-q1__p006.png,1-6 Compensation_0026949_202606_Q1.pdf,6,pdf,1655,2128,0,0.925,no,0.000,no,no,9811.404,238.560,45.549,-0.000,1.000,no,no,accepted,,badcf849e263cbf87fa343e93f22dd9ac23351e33f283d356506b3656a40e1e1,0.092222,,keep,,yes
images/1-6-compensation-0026949-202606-q1__p007.png,1-6 Compensation_0026949_202606_Q1.pdf,7,pdf,1655,2128,0,0.927,no,0.000,no,no,6956.231,243.021,41.289,-0.000,0.816,no,no,accepted,,70a595001ca22aa50c6f41246bc55625f4d750623078d4e72afe41bcf26b2d1f,0.066582,,keep,,yes
images/1-6-compensation-0026949-202606-q1__p008.png,1-6 Compensation_0026949_202606_Q1.pdf,8,pdf,1655,2128,0,0.925,no,0.000,no,no,5525.403,242.519,44.261,-0.000,0.775,no,no,accepted,,29f974932c6605975cee7542a8a44ff9bc361a36e2e348423e25dfe6881459cb,0.064161,,keep,,yes
images/1-6-compensation-0026949-202606-q1__p009.png,1-6 Compensation_0026949_202606_Q1.pdf,9,pdf,1655,2128,0,0.914,no,0.000,no,no,4397.899,245.641,37.028,-0.000,0.801,no,no,accepted,,fe68338af9e46562ccce7b8512633460d4d17772c92ae26390393b9363b58788,0.049332,,keep,,yes
images/1-6-pdf__p001.png,1-6-PDF-.pdf,1,pdf,1653,2339,0,0.928,no,0.000,no,no,2434.829,247.537,28.879,-0.000,0.711,no,no,accepted,,377508b03872fccf926730db340e8abfbd1b5a92b9de4aee7e91fd414d4ff4c4,0.137819,,keep,,yes
images/1-6-pdf__p002.png,1-6-PDF-.pdf,2,pdf,1653,2339,0,0.928,no,0.000,no,no,2108.025,251.499,20.990,-0.000,0.726,no,yes,review,contrast_enhanced;overexposed,c69a9fffe90e6d6be20510d7c9a1f92af40ebb1270c9515c5e9c2ba3f1f4b134,0.023167,,review,,yes
images/10-1-leb-2026-01-260925__p001.png,10-1  LEB-2026-01-260925.pdf,1,pdf,1653,2339,0,0.925,no,0.000,no,no,1246.812,250.247,19.384,0.250,0.524,no,yes,review,contrast_enhanced;overexposed,37013812fc700fef3a0f318d7a8f894917d479b8208241f0cb78ca73124345b2,0.134150,,review,,yes
images/10-10__p001.png,10-10.pdf,1,pdf,1654,2339,0,0.914,no,0.000,no,no,1681.625,235.203,50.026,-0.000,0.730,no,no,accepted,,2fe06cd66dbbd6ce4e5c77da5aa10572837b2d80e01cb91af6eb8b16238f8ea9,0.133609,,keep,,yes
images/11-1-leb-2026-01-261006__p001.png,11-1  LEB-2026-01-261006.pdf,1,pdf,1653,2339,0,0.925,no,0.000,no,no,1238.293,250.263,19.341,0.250,0.524,no,yes,review,contrast_enhanced;overexposed,6cd90d7a6d8043f16dce118b5a9bb5f653986ea153dde55e014c9d7cc6385121,0.134034,,review,,yes
images/11-10__p001.png,11-10.pdf,1,pdf,1654,2339,0,0.921,no,0.000,no,no,1753.031,234.959,50.493,-0.000,0.756,no,no,accepted,,9cceeb90b10142a1f082cf399a976adc17dfbcd135a26cf98e50c02ce2f71fe4,0.133870,,keep,,yes
images/12-1-leb-2026-01-266318__p001.png,12-1  LEB-2026-01-266318.pdf,1,pdf,1653,2339,0,0.925,no,0.000,no,no,1246.490,250.256,19.365,0.250,0.520,no,yes,review,contrast_enhanced;overexposed,88b472ebe518c5848a82945d7744b54d518dab73b37455178bed06497b8a1046,0.134083,,review,,yes
images/12-10__p001.png,12-10.pdf,1,pdf,1654,2339,0,0.924,no,0.000,no,no,1763.192,222.694,53.044,-0.000,0.753,no,no,accepted,,5c0a0582e1e3e03f128c94c9296e2805c4c66cd2da3c3f5c0162d9b607a7f981,0.279689,,keep,,yes
images/13-1-leb-2026-01-266330__p001.png,13-1  LEB-2026-01-266330.pdf,1,pdf,1653,2339,0,0.925,no,0.000,no,no,1243.348,250.260,19.349,0.250,0.520,no,yes,review,contrast_enhanced;overexposed,598dfbbbf857cdaac4d1ca8bd040fa57f6610f2025a080314afbf29a6bac7405,0.134053,,review,,yes
images/13-10__p001.png,13-10.pdf,1,pdf,1654,2339,0,0.927,no,0.000,no,no,1801.773,238.508,43.277,-0.250,0.685,no,no,accepted,,08000386baeae5dd279962d5bdba73368d64aaf9bc016e0b45d368a68bf1efac,0.123146,,keep,,yes
images/14-1-leb-2026-01-266353__p001.png,14-1  LEB-2026-01-266353.pdf,1,pdf,1653,2339,0,0.925,no,0.000,no,no,1246.438,250.258,19.354,0.250,0.531,no,yes,review,contrast_enhanced;overexposed,7a1c382c35f22a427be02337821dffc12353ae48eba3d74461158f31c1f2d88a,0.134073,,review,,yes
images/14-10__p001.png,14-10.pdf,1,pdf,1654,2339,0,0.927,no,0.000,no,no,1760.253,238.412,43.338,-0.000,0.708,no,no,accepted,,803a60c0a48701891c65e8a5395b870087ce507c753237820cd2c70f15f5295a,0.123831,,keep,,yes
images/15-1-leb-2026-01-266377__p001.png,15-1  LEB-2026-01-266377.pdf,1,pdf,1653,2339,0,0.925,no,0.000,no,no,1236.461,250.275,19.293,0.250,0.520,no,yes,review,contrast_enhanced;overexposed,e7707b3a7558b77d523d3c18bc664d6dcacf751034941113d74e499734df148d,0.133958,,review,,yes
images/15-10-greffe__p001.png,15-10 GREFFE.pdf,1,pdf,1654,2339,0,0.920,no,0.000,no,no,2505.761,233.885,47.886,-0.000,0.850,no,no,accepted,,b61950de76b3aee8005f3bfe165fa03554e0011db5682eff34690c7e8c826ad6,0.170798,,keep,,yes
images/1552662462-5g5x5fgeod2oh2jt6smub027m6ji__p001.png,1552662462_5g5x5fgeod2oh2jt6smub027m6ji.pdf,1,pdf,1653,2339,0,0.895,no,0.000,no,no,6727.764,242.145,46.107,-0.250,0.704,no,no,accepted,,42dbd74374af9426badbc8a011bb30eef1d5583685f76ccc131089ce29657dfd,0.066242,,keep,,yes
images/16-1-leb-2026-01-266407__p001.png,16-1  LEB-2026-01-266407.pdf,1,pdf,1653,2339,0,0.925,no,0.000,no,no,1237.332,250.269,19.317,0.250,0.527,no,yes,review,contrast_enhanced;overexposed,6e289ad786aa54e0e6eafc3a5a9b927f128d69daccebd27a0a711f4cf76d1aac,0.133974,,review,,yes
images/16-10-arsecours__p001.png,16-10 ARSECOURS.pdf,1,pdf,1654,2339,0,0.925,no,0.000,no,no,926.875,231.007,49.643,0.250,0.891,no,no,accepted,,ef6bdaa5e402a52f48337d8e2d00fbfc46777558731c73e9b0ea040613452f3f,0.240497,,keep,,yes
images/17-10-tf87261428-20251015fac000927-f5x16346-oc__p001.png,17-10  TF87261428_20251015FAC000927_F5X16346_OC.pdf,1,pdf,1654,2339,0,0.573,no,0.000,no,no,5872.618,244.823,39.857,-0.000,0.700,no,no,accepted,,6f22d7c306882c732b5983f08e8d6072a2906914c3fe5b3b324f821069ad9159,0.055132,,keep,,yes
images/17-10-tf87261428-20251015fac000927-f5x16346-oc__p002.png,17-10  TF87261428_20251015FAC000927_F5X16346_OC.pdf,2,pdf,1654,2339,0,0.872,no,0.000,no,no,1033.443,252.942,18.054,1.375,0.374,no,yes,review,contrast_enhanced;overexposed;skew_uncertain,fb8e81b748fc681374a49101fe437a801c21df6b492db2b93128600d132313f6,0.011979,,review,,yes
images/17-10-tf87261428-20251015fac000927-f5x16346-oc__p003.png,17-10  TF87261428_20251015FAC000927_F5X16346_OC.pdf,3,pdf,1654,2339,0,0.726,no,0.000,no,no,5677.776,244.789,38.493,-0.000,0.816,no,no,accepted,,9794dd6180642c198e03120d24fb928eb3cbba415831503cbc54595e68095dbf,0.057922,,keep,,yes
images/1741792092-rvrtew6dxxf80cl3tbstvqrgdmmq__p001.png,1741792092_rvrtew6dxxf80cl3tbstvqrgdmmq.pdf,1,pdf,1654,2339,0,0.928,no,0.000,no,no,5520.568,244.577,40.556,-0.000,0.790,no,no,accepted,,ab306754342d6646b1c2a0956c7b629f96c28020d675596ba4fbfd4857bfeac7,0.057737,,keep,,yes
images/1741792092-rvrtew6dxxf80cl3tbstvqrgdmmq__p002.png,1741792092_rvrtew6dxxf80cl3tbstvqrgdmmq.pdf,2,pdf,1654,2339,0,0.924,no,0.000,no,no,1317.441,246.088,18.266,-0.000,1.000,no,yes,corrected,contrast_enhanced,9b5ce601186e3111c65bdd916e2abb33f712a2a7d31b19bcce9bfe52025b53b7,0.138232,dup_003,review,exact_duplicate,yes
images/1741792092-rvrtew6dxxf80cl3tbstvqrgdmmq__p003.png,1741792092_rvrtew6dxxf80cl3tbstvqrgdmmq.pdf,3,pdf,1654,2339,0,0.923,no,0.000,no,no,722.466,230.264,17.858,-0.000,0.992,no,yes,corrected,contrast_enhanced,bf2e66e59e035874cfc87b22f5779e902856dead0c3ae66557d4cc07378389cf,0.812214,dup_004,review,exact_duplicate,yes
images/1741792092-rvrtew6dxxf80cl3tbstvqrgdmmq__p004.png,1741792092_rvrtew6dxxf80cl3tbstvqrgdmmq.pdf,4,pdf,1654,2339,0,0.927,no,0.000,no,no,489.979,234.960,17.602,-0.000,0.951,no,yes,corrected,contrast_enhanced,11b5871ba010ef22b118867bd499c506edc39c2e8f2ec79209e0f7abdd064433,0.676890,dup_005,review,exact_duplicate,yes
images/1741792484-5rzpo24w8q12j91797zsbb8jvewj__p001.png,1741792484_5rzpo24w8q12j91797zsbb8jvewj.pdf,1,pdf,1654,2339,0,0.928,no,0.000,no,no,5522.816,244.553,40.575,-0.000,0.782,no,no,accepted,,4760cc3918e7d7db3e8c1bcaf5742910f8cbb5073e614078350c8cb18ed9b2bc,0.057905,,keep,,yes
images/1741792484-5rzpo24w8q12j91797zsbb8jvewj__p002.png,1741792484_5rzpo24w8q12j91797zsbb8jvewj.pdf,2,pdf,1654,2339,0,0.924,no,0.000,no,no,1317.441,246.088,18.266,-0.000,1.000,no,yes,corrected,contrast_enhanced,9b5ce601186e3111c65bdd916e2abb33f712a2a7d31b19bcce9bfe52025b53b7,0.138232,dup_003,review,exact_duplicate,yes
images/1741792484-5rzpo24w8q12j91797zsbb8jvewj__p003.png,1741792484_5rzpo24w8q12j91797zsbb8jvewj.pdf,3,pdf,1654,2339,0,0.923,no,0.000,no,no,722.466,230.264,17.858,-0.000,0.992,no,yes,corrected,contrast_enhanced,bf2e66e59e035874cfc87b22f5779e902856dead0c3ae66557d4cc07378389cf,0.812214,dup_004,review,exact_duplicate,yes
images/1741792484-5rzpo24w8q12j91797zsbb8jvewj__p004.png,1741792484_5rzpo24w8q12j91797zsbb8jvewj.pdf,4,pdf,1654,2339,0,0.927,no,0.000,no,no,489.979,234.960,17.602,-0.000,0.951,no,yes,corrected,contrast_enhanced,11b5871ba010ef22b118867bd499c506edc39c2e8f2ec79209e0f7abdd064433,0.676890,dup_005,review,exact_duplicate,yes
images/1741792485-4vmba652lakitpecz7mgb36w2hys__p001.png,1741792485_4vmba652lakitpecz7mgb36w2hys.pdf,1,pdf,1654,2339,0,0.928,no,0.000,no,no,5518.209,244.561,40.562,-0.000,0.786,no,no,accepted,,fcd9c05c3499d88c639c77baeb70d86115d2f2b5a976a1364982f38082f41420,0.057876,,keep,,yes
images/1741792485-4vmba652lakitpecz7mgb36w2hys__p002.png,1741792485_4vmba652lakitpecz7mgb36w2hys.pdf,2,pdf,1654,2339,0,0.924,no,0.000,no,no,1317.441,246.088,18.266,-0.000,1.000,no,yes,corrected,contrast_enhanced,9b5ce601186e3111c65bdd916e2abb33f712a2a7d31b19bcce9bfe52025b53b7,0.138232,dup_003,review,exact_duplicate,yes
images/1741792485-4vmba652lakitpecz7mgb36w2hys__p003.png,1741792485_4vmba652lakitpecz7mgb36w2hys.pdf,3,pdf,1654,2339,0,0.923,no,0.000,no,no,722.466,230.264,17.858,-0.000,0.992,no,yes,corrected,contrast_enhanced,bf2e66e59e035874cfc87b22f5779e902856dead0c3ae66557d4cc07378389cf,0.812214,dup_004,review,exact_duplicate,yes
images/1741792485-4vmba652lakitpecz7mgb36w2hys__p004.png,1741792485_4vmba652lakitpecz7mgb36w2hys.pdf,4,pdf,1654,2339,0,0.927,no,0.000,no,no,489.979,234.960,17.602,-0.000,0.951,no,yes,corrected,contrast_enhanced,11b5871ba010ef22b118867bd499c506edc39c2e8f2ec79209e0f7abdd064433,0.676890,dup_005,review,exact_duplicate,yes
images/1741792486-02laoh1ucc1p6x6vkd4wydotmo33__p001.png,1741792486_02laoh1ucc1p6x6vkd4wydotmo33.pdf,1,pdf,1654,2339,0,0.928,no,0.000,no,no,5552.186,244.526,40.623,-0.000,0.786,no,no,accepted,,4751cee4537c5848bd94866b4947e8df052c7d6ed48d44bc4a9eae46b005d04c,0.058051,,keep,,yes
images/1741792486-02laoh1ucc1p6x6vkd4wydotmo33__p002.png,1741792486_02laoh1ucc1p6x6vkd4wydotmo33.pdf,2,pdf,1654,2339,0,0.924,no,0.000,no,no,1317.441,246.088,18.266,-0.000,1.000,no,yes,corrected,contrast_enhanced,9b5ce601186e3111c65bdd916e2abb33f712a2a7d31b19bcce9bfe52025b53b7,0.138232,dup_003,review,exact_duplicate,yes
images/1741792486-02laoh1ucc1p6x6vkd4wydotmo33__p003.png,1741792486_02laoh1ucc1p6x6vkd4wydotmo33.pdf,3,pdf,1654,2339,0,0.923,no,0.000,no,no,722.466,230.264,17.858,-0.000,0.992,no,yes,corrected,contrast_enhanced,bf2e66e59e035874cfc87b22f5779e902856dead0c3ae66557d4cc07378389cf,0.812214,dup_004,review,exact_duplicate,yes
images/1741792486-02laoh1ucc1p6x6vkd4wydotmo33__p004.png,1741792486_02laoh1ucc1p6x6vkd4wydotmo33.pdf,4,pdf,1654,2339,0,0.927,no,0.000,no,no,489.979,234.960,17.602,-0.000,0.951,no,yes,corrected,contrast_enhanced,11b5871ba010ef22b118867bd499c506edc39c2e8f2ec79209e0f7abdd064433,0.676890,dup_005,review,exact_duplicate,yes
images/1744960742-qfq9a9dtyko5tv48s3rhyj1382n5__p001.png,1744960742_qfq9a9dtyko5tv48s3rhyj1382n5.pdf,1,pdf,1654,2339,0,0.926,no,0.000,no,no,2878.123,241.041,29.331,-0.000,0.715,no,no,accepted,,7979b59fe910bd9e4916fd8e5f34f8b35ba6ece0db38d24a1d4cf5e184e72e9c,0.237177,,keep,,yes
images/1744960742-qfq9a9dtyko5tv48s3rhyj1382n5__p002.png,1744960742_qfq9a9dtyko5tv48s3rhyj1382n5.pdf,2,pdf,1654,2339,0,0.256,no,0.000,no,no,0.000,255.000,0.000,0.000,0.000,no,yes,review,contrast_enhanced;blurry;overexposed,bf7f01040e195d19a2cc83af36a1b6b163429acab230a664b419b545990a74b7,0.000000,dup_006,review,exact_duplicate;low_content,yes
images/1744960743-1ri9uw45qhxk4c0s2ubmdavm32wf__p001.png,1744960743_1ri9uw45qhxk4c0s2ubmdavm32wf.pdf,1,pdf,1654,2339,0,0.903,no,0.000,no,no,3018.253,240.096,29.746,-0.000,0.711,no,no,accepted,,2a4903b20e3c3d67035d611301cce320794bec0aac7614321503bfdf694ac99d,0.256454,,keep,,yes
images/1744960743-1ri9uw45qhxk4c0s2ubmdavm32wf__p002.png,1744960743_1ri9uw45qhxk4c0s2ubmdavm32wf.pdf,2,pdf,1654,2339,0,0.256,no,0.000,no,no,0.000,255.000,0.000,0.000,0.000,no,yes,review,contrast_enhanced;blurry;overexposed,bf7f01040e195d19a2cc83af36a1b6b163429acab230a664b419b545990a74b7,0.000000,dup_006,review,exact_duplicate;low_content,yes
images/1744960744-411oonsmnh1alazur4kry5ewtlak__p001.png,1744960744_411oonsmnh1alazur4kry5ewtlak.pdf,1,pdf,1654,2339,0,0.910,no,0.000,no,no,3368.782,237.224,31.457,-0.000,0.779,no,no,accepted,,e23269c60d1e829efe7fb18553a47d9f2e353ef8a274a965a1c223f2bb051f03,0.306706,,keep,,yes
images/1744960744-411oonsmnh1alazur4kry5ewtlak__p002.png,1744960744_411oonsmnh1alazur4kry5ewtlak.pdf,2,pdf,1654,2339,0,0.256,no,0.000,no,no,0.000,255.000,0.000,0.000,0.000,no,yes,review,contrast_enhanced;blurry;overexposed,bf7f01040e195d19a2cc83af36a1b6b163429acab230a664b419b545990a74b7,0.000000,dup_006,review,exact_duplicate;low_content,yes
images/1744960744-411oonsmnh1alazur4kry5ewtlak__p003.png,1744960744_411oonsmnh1alazur4kry5ewtlak.pdf,3,pdf,1654,2339,0,0.914,no,0.000,no,no,1451.348,250.052,20.961,-0.000,0.614,no,yes,review,contrast_enhanced;overexposed,575b9bd6ab585f98c02ccf9403cfd48156db24cec09992b0ec888882ac3c3126,0.072001,,review,,yes
images/1744960744-411oonsmnh1alazur4kry5ewtlak__p004.png,1744960744_411oonsmnh1alazur4kry5ewtlak.pdf,4,pdf,1654,2339,0,0.256,no,0.000,no,no,0.000,255.000,0.000,0.000,0.000,no,yes,review,contrast_enhanced;blurry;overexposed,bf7f01040e195d19a2cc83af36a1b6b163429acab230a664b419b545990a74b7,0.000000,dup_006,review,exact_duplicate;low_content,yes
images/1744960745-kaoos42fgwc6vqb7l0rmv274vmpb__p001.png,1744960745_kaoos42fgwc6vqb7l0rmv274vmpb.pdf,1,pdf,1654,2339,0,0.925,no,0.555,no,no,4515.528,235.462,53.095,0.250,0.629,no,no,review,document_contour_uncertain,85c463dc22ab89e866906f5cff59c14c5243cf99b81cd710725bb1cfc5a3126e,0.114340,,review,,yes
images/1744960746-ysb43bndbsdfns9yupbwzx8bped7__p001.png,1744960746_ysb43bndbsdfns9yupbwzx8bped7.pdf,1,pdf,1654,2339,0,0.926,no,0.000,no,no,4884.254,245.711,35.374,-0.000,0.809,no,no,accepted,,e660fc50fe29cc6528b1d9bcce5814115c19d9c415b4edc21bceda0c04d0b3ca,0.059335,,keep,,yes
images/1744960747-6bewzpi4exlqyeyqq909y2u2pcax__p001.png,1744960747_6bewzpi4exlqyeyqq909y2u2pcax.pdf,1,pdf,1654,2339,0,0.925,no,0.000,no,no,4832.921,245.779,35.264,-0.000,0.809,no,no,accepted,,129eae21dc9213c76b99a3694369e67dce57156b37c06beae62e8a65980a7340,0.058862,,keep,,yes
images/1744960748-zwkfvfnjf0n83w7gy8le6e9gn2pe__p001.png,1744960748_zwkfvfnjf0n83w7gy8le6e9gn2pe.pdf,1,pdf,1654,2339,0,0.926,no,0.000,no,no,4264.100,246.601,34.359,-0.000,0.756,no,no,accepted,,212fb42845bbf20576601e432a4038e057aa2ae75442bd6d301ae5d51f3ac177,0.052671,,keep,,yes
images/1744960749-rwpt8a81f4iq6hfiuetppz1ai3wj__p001.png,1744960749_rwpt8a81f4iq6hfiuetppz1ai3wj.pdf,1,pdf,1654,2339,0,0.923,no,0.000,no,no,4339.934,236.438,39.887,-0.000,0.828,no,no,accepted,,6dfe887f8691885a33706776bc75462dcbecb9142e0026301ab75c1499be86f7,0.224502,,keep,,yes
images/1744960749-rwpt8a81f4iq6hfiuetppz1ai3wj__p002.png,1744960749_rwpt8a81f4iq6hfiuetppz1ai3wj.pdf,2,pdf,1654,2339,0,0.256,no,0.000,no,no,0.000,255.000,0.000,0.000,0.000,no,yes,review,contrast_enhanced;blurry;overexposed,bf7f01040e195d19a2cc83af36a1b6b163429acab230a664b419b545990a74b7,0.000000,dup_006,review,exact_duplicate;low_content,yes
images/1744960750-ayk0zuf4umxveqb1nigodse7xfmw__p001.png,1744960750_ayk0zuf4umxveqb1nigodse7xfmw.pdf,1,pdf,1654,2339,0,0.926,no,0.000,no,no,3768.972,237.821,38.070,-0.000,0.782,no,no,accepted,,149403834c8b1d78f4f94253e5d9bd5b07ac501292d174af50686cbbab8ca47b,0.214157,,keep,,yes
images/1744960750-ayk0zuf4umxveqb1nigodse7xfmw__p002.png,1744960750_ayk0zuf4umxveqb1nigodse7xfmw.pdf,2,pdf,1654,2339,0,0.256,no,0.000,no,no,0.000,255.000,0.000,0.000,0.000,no,yes,review,contrast_enhanced;blurry;overexposed,bf7f01040e195d19a2cc83af36a1b6b163429acab230a664b419b545990a74b7,0.000000,dup_006,review,exact_duplicate;low_content,yes
images/1744975609-64pchbz57okh2hexqsk4a2t56jfn__p001.png,1744975609_64pchbz57okh2hexqsk4a2t56jfn.pdf,1,pdf,1654,2339,0,0.927,no,0.000,no,no,5268.498,246.002,36.640,-0.000,0.689,no,no,accepted,,b237ba83432fbea9382b1feb87e9b76b3f2f033f2f6b08ca28c51da9c276d00e,0.050772,,keep,,yes
images/1744975611-js9ieumkidzj95q78iu3jm6evnnw__p001.png,1744975611_js9ieumkidzj95q78iu3jm6evnnw.pdf,1,pdf,1655,2339,0,0.919,no,0.000,no,no,5656.739,243.365,36.155,-0.000,0.700,no,no,accepted,,8447ea37522d1fb6c183b37b750a0836e49ddc483b4980833c073c9e57427632,0.140420,,keep,,yes
images/1744975612-tw5xdjhq1wlzoganjaj366w2ojmr__p001.png,1744975612_tw5xdjhq1wlzoganjaj366w2ojmr.pdf,1,pdf,1654,2339,0,0.928,no,0.000,no,no,5491.526,243.253,37.525,-0.000,0.910,no,no,accepted,,a514abb7d5da8918479d11300fb7db644dd09dfac6cbbbbb7de08205dda50ae7,0.087429,,keep,,yes
images/1744975612-tw5xdjhq1wlzoganjaj366w2ojmr__p002.png,1744975612_tw5xdjhq1wlzoganjaj366w2ojmr.pdf,2,pdf,1654,2339,0,0.923,no,0.000,no,no,1439.072,250.698,21.704,-0.000,0.610,no,yes,review,contrast_enhanced;overexposed,be3683347a44be3655fcab7595748bbde54260b0c963455ffcbd915904f69610,0.036456,,review,,yes
images/1744975613-zea0moeyd5l6xdsslajdyj51ybq4__p001.png,1744975613_zea0moeyd5l6xdsslajdyj51ybq4.pdf,1,pdf,1653,2339,0,0.927,no,0.000,no,no,3096.513,245.021,33.682,-0.000,0.715,no,no,accepted,,8722bbbcc15ddf4816e6d2f78d5d15536df463cf335d38eff31e8c45689c0ddd,0.103842,,keep,,yes
images/1744975613-zea0moeyd5l6xdsslajdyj51ybq4__p002.png,1744975613_zea0moeyd5l6xdsslajdyj51ybq4.pdf,2,pdf,1653,2339,0,0.925,no,0.000,no,no,4229.105,226.891,58.871,-0.000,0.771,no,no,accepted,,d393e47708b23c3f8156686fd1bb7115527340c39bb4549ea3ea0231a137d308,0.231220,,keep,,yes
images/1744975613-zea0moeyd5l6xdsslajdyj51ybq4__p003.png,1744975613_zea0moeyd5l6xdsslajdyj51ybq4.pdf,3,pdf,1653,2339,0,0.927,no,0.000,no,no,5713.962,244.185,33.956,-0.000,0.846,no,no,accepted,,8672fa5b9a41d2903316fbe71b3bdcdd990f2bcb48d897b593db3713c7b0c1d2,0.083155,,keep,,yes
images/1744975613-zea0moeyd5l6xdsslajdyj51ybq4__p004.png,1744975613_zea0moeyd5l6xdsslajdyj51ybq4.pdf,4,pdf,1653,2339,0,0.256,no,0.000,no,no,0.000,255.000,0.000,0.000,0.000,no,yes,review,contrast_enhanced;blurry;overexposed,f1fa61989e6572bc441ba1607d58f31e5ce60845c27af6f53aad2aa7ba1b694a,0.000000,dup_007,review,exact_duplicate;low_content,yes
images/1744975615-q4g13uqrk7vd7xdcx7cfv2804iub__p001.png,1744975615_q4g13uqrk7vd7xdcx7cfv2804iub.pdf,1,pdf,1654,2339,0,0.929,no,0.000,no,no,4062.557,235.612,40.267,-0.000,0.719,no,no,accepted,,5acabc3419df0b962a9e08aaf1cc7f9a208147f0acf47f3b71ce3349310e05f2,0.247342,,keep,,yes
