image,source_document,page,source_type,width,height,sha256,content_ratio,duplicate_group,audit_status,audit_flags,include_in_training
images/13-1-leb-2026-01-266330__p001.png,13-1  LEB-2026-01-266330.pdf,1,pdf,1653,2339,3f8682694b379d07ced0231bc719f0daa91a8dba8d6f118033df39ce46615d1f,0.032834,,keep,,yes
images/13-10__p001.png,13-10.pdf,1,pdf,1654,2339,d76318cf3f54840545e016e9aca9c4602589b728954fae40907fa6bb22e31cdf,0.123146,,keep,,yes
images/14-1-leb-2026-01-266353__p001.png,14-1  LEB-2026-01-266353.pdf,1,pdf,1653,2339,3f4a726a84b32537c7131cca293b8b4d0cb31883b7bc805f7805953b1e54fc4d,0.032854,,keep,,yes
images/14-10__p001.png,14-10.pdf,1,pdf,1654,2339,a94abde87b2c4057e56d36369124384124dc40da4899fbb2d86b01b0f819c65b,0.123831,,keep,,yes
images/15-1-leb-2026-01-266377__p001.png,15-1  LEB-2026-01-266377.pdf,1,pdf,1653,2339,b69c353b02242704ce2393c2e6684d1fd59c9d7bd7a9d74fa9e0737f0b4c9722,0.032740,,keep,,yes
images/15-10-greffe__p001.png,15-10 GREFFE.pdf,1,pdf,1654,2339,dc314797effd11bb8eecd0751f8046ede16cfe4d71e604f48b88d34aed6f26ea,0.170798,,keep,,yes
images/1552662462-5g5x5fgeod2oh2jt6smub027m6ji__p001.png,1552662462_5g5x5fgeod2oh2jt6smub027m6ji.pdf,1,pdf,1653,2339,b590a6472790e24761893a4b4054bcb85ca9eb8423b677ffd85c370812b724a8,0.066242,,keep,,yes
images/16-1-leb-2026-01-266407__p001.png,16-1  LEB-2026-01-266407.pdf,1,pdf,1653,2339,3fbf204658326620a4627fa795d104029f0f2680bc1d3fb2e0d513beafd71194,0.032757,,keep,,yes
images/16-10-arsecours__p001.png,16-10 ARSECOURS.pdf,1,pdf,1654,2339,7db48d47062ac035fcfcd132b6e5d16a8cd31995126545069dc4b56f579f0b1e,0.240497,,keep,,yes
images/17-10-tf87261428-20251015fac000927-f5x16346-oc__p001.png,17-10  TF87261428_20251015FAC000927_F5X16346_OC.pdf,1,pdf,1654,2339,ca8aebdcb237734ce05fe372ba5b5cb13e2b73d8957f93ee235bdcfbad2b8ea5,0.055132,,keep,,yes
images/17-10-tf87261428-20251015fac000927-f5x16346-oc__p002.png,17-10  TF87261428_20251015FAC000927_F5X16346_OC.pdf,2,pdf,1654,2339,bec964959ba21c5df326288f72135ff2400c8649cd620e81e73cd636e0a0c0e1,0.011914,,keep,,yes
images/17-10-tf87261428-20251015fac000927-f5x16346-oc__p003.png,17-10  TF87261428_20251015FAC000927_F5X16346_OC.pdf,3,pdf,1654,2339,0240e99423c9d93f81c56ba667259d863faad260b7fa63329acaf72fd13712f5,0.057922,,keep,,yes
images/1741792092-rvrtew6dxxf80cl3tbstvqrgdmmq__p001.png,1741792092_rvrtew6dxxf80cl3tbstvqrgdmmq.pdf,1,pdf,1654,2339,54a512bc2ca4de0e5cd712f8e8ab6b6892492140d23ee973f05a74882477108d,0.057737,,keep,,yes
images/1741792092-rvrtew6dxxf80cl3tbstvqrgdmmq__p002.png,1741792092_rvrtew6dxxf80cl3tbstvqrgdmmq.pdf,2,pdf,1654,2339,933c25a86f50d7fa557639e8a3cd520341025112414fb6854b46f2715e6a7105,0.126906,dup_003,review,exact_duplicate,yes
images/1741792092-rvrtew6dxxf80cl3tbstvqrgdmmq__p003.png,1741792092_rvrtew6dxxf80cl3tbstvqrgdmmq.pdf,3,pdf,1654,2339,5995588f01345f4182a34e29790f2142bd43f7f2fc88e920765e73821f69284a,0.811889,dup_004,review,exact_duplicate,yes
images/1741792092-rvrtew6dxxf80cl3tbstvqrgdmmq__p004.png,1741792092_rvrtew6dxxf80cl3tbstvqrgdmmq.pdf,4,pdf,1654,2339,f9fd7e57ecd5dac6aec81f23dac65df963ad6ff5dee523ea81dfd3a01248372b,0.676875,dup_005,review,exact_duplicate,yes
images/1741792484-5rzpo24w8q12j91797zsbb8jvewj__p001.png,1741792484_5rzpo24w8q12j91797zsbb8jvewj.pdf,1,pdf,1654,2339,c28f7df6b55ae2b56720b537b733ef4a047f064ad2900bade92cd3a3ff8c52e4,0.057905,,keep,,yes
images/1741792484-5rzpo24w8q12j91797zsbb8jvewj__p002.png,1741792484_5rzpo24w8q12j91797zsbb8jvewj.pdf,2,pdf,1654,2339,933c25a86f50d7fa557639e8a3cd520341025112414fb6854b46f2715e6a7105,0.126906,dup_003,review,exact_duplicate,yes
images/1741792484-5rzpo24w8q12j91797zsbb8jvewj__p003.png,1741792484_5rzpo24w8q12j91797zsbb8jvewj.pdf,3,pdf,1654,2339,5995588f01345f4182a34e29790f2142bd43f7f2fc88e920765e73821f69284a,0.811889,dup_004,review,exact_duplicate,yes
images/1741792484-5rzpo24w8q12j91797zsbb8jvewj__p004.png,1741792484_5rzpo24w8q12j91797zsbb8jvewj.pdf,4,pdf,1654,2339,f9fd7e57ecd5dac6aec81f23dac65df963ad6ff5dee523ea81dfd3a01248372b,0.676875,dup_005,review,exact_duplicate,yes
images/1741792485-4vmba652lakitpecz7mgb36w2hys__p001.png,1741792485_4vmba652lakitpecz7mgb36w2hys.pdf,1,pdf,1654,2339,a84fad5dcdff2ef1c4dca4167aa7c01c633d56d0a53de3807bab9982efef2fee,0.057876,,keep,,yes
images/1741792485-4vmba652lakitpecz7mgb36w2hys__p002.png,1741792485_4vmba652lakitpecz7mgb36w2hys.pdf,2,pdf,1654,2339,933c25a86f50d7fa557639e8a3cd520341025112414fb6854b46f2715e6a7105,0.126906,dup_003,review,exact_duplicate,yes
images/1741792485-4vmba652lakitpecz7mgb36w2hys__p003.png,1741792485_4vmba652lakitpecz7mgb36w2hys.pdf,3,pdf,1654,2339,5995588f01345f4182a34e29790f2142bd43f7f2fc88e920765e73821f69284a,0.811889,dup_004,review,exact_duplicate,yes
images/1741792485-4vmba652lakitpecz7mgb36w2hys__p004.png,1741792485_4vmba652lakitpecz7mgb36w2hys.pdf,4,pdf,1654,2339,f9fd7e57ecd5dac6aec81f23dac65df963ad6ff5dee523ea81dfd3a01248372b,0.676875,dup_005,review,exact_duplicate,yes
images/1741792486-02laoh1ucc1p6x6vkd4wydotmo33__p001.png,1741792486_02laoh1ucc1p6x6vkd4wydotmo33.pdf,1,pdf,1654,2339,ecb1c85435b1d1590cd01f6828fd58192f3d06433aca34847026d558c49d52e2,0.058051,,keep,,yes
images/1741792486-02laoh1ucc1p6x6vkd4wydotmo33__p002.png,1741792486_02laoh1ucc1p6x6vkd4wydotmo33.pdf,2,pdf,1654,2339,933c25a86f50d7fa557639e8a3cd520341025112414fb6854b46f2715e6a7105,0.126906,dup_003,review,exact_duplicate,yes
images/1741792486-02laoh1ucc1p6x6vkd4wydotmo33__p003.png,1741792486_02laoh1ucc1p6x6vkd4wydotmo33.pdf,3,pdf,1654,2339,5995588f01345f4182a34e29790f2142bd43f7f2fc88e920765e73821f69284a,0.811889,dup_004,review,exact_duplicate,yes
images/1741792486-02laoh1ucc1p6x6vkd4wydotmo33__p004.png,1741792486_02laoh1ucc1p6x6vkd4wydotmo33.pdf,4,pdf,1654,2339,f9fd7e57ecd5dac6aec81f23dac65df963ad6ff5dee523ea81dfd3a01248372b,0.676875,dup_005,review,exact_duplicate,yes
images/1744960742-qfq9a9dtyko5tv48s3rhyj1382n5__p001.png,1744960742_qfq9a9dtyko5tv48s3rhyj1382n5.pdf,1,pdf,1654,2339,b8a7ea50fb6cd05de6e75045b7484e852eb1df7a638a47f68161c19ce951c8e2,0.237177,,keep,,yes
images/1744960742-qfq9a9dtyko5tv48s3rhyj1382n5__p002.png,1744960742_qfq9a9dtyko5tv48s3rhyj1382n5.pdf,2,pdf,1654,2339,29ee87b6353894377c470782c5144fd54dc9996a70c05399cff7fc73737e077b,0.000000,dup_006,review,exact_duplicate;low_content,yes
images/1744960743-1ri9uw45qhxk4c0s2ubmdavm32wf__p001.png,1744960743_1ri9uw45qhxk4c0s2ubmdavm32wf.pdf,1,pdf,1654,2339,25bf8f05118f0ba7ffa1ab5772f53d17cc4e82cc0cc1993dce6b0e2c091aa85d,0.256454,,keep,,yes
images/1744960743-1ri9uw45qhxk4c0s2ubmdavm32wf__p002.png,1744960743_1ri9uw45qhxk4c0s2ubmdavm32wf.pdf,2,pdf,1654,2339,29ee87b6353894377c470782c5144fd54dc9996a70c05399cff7fc73737e077b,0.000000,dup_006,review,exact_duplicate;low_content,yes
images/1744960744-411oonsmnh1alazur4kry5ewtlak__p001.png,1744960744_411oonsmnh1alazur4kry5ewtlak.pdf,1,pdf,1654,2339,25e4ada1ea75fd7f6939406e50ba6c28e560fed53fab52b727b24a99148dc237,0.306706,,keep,,yes
images/1744960744-411oonsmnh1alazur4kry5ewtlak__p002.png,1744960744_411oonsmnh1alazur4kry5ewtlak.pdf,2,pdf,1654,2339,29ee87b6353894377c470782c5144fd54dc9996a70c05399cff7fc73737e077b,0.000000,dup_006,review,exact_duplicate;low_content,yes
images/1744960744-411oonsmnh1alazur4kry5ewtlak__p003.png,1744960744_411oonsmnh1alazur4kry5ewtlak.pdf,3,pdf,1654,2339,f0cfd7e22874983d243b960e4c8dc08b8421bdf6b2a513427fc8d51097dbd6b5,0.071797,,keep,,yes
images/1744960744-411oonsmnh1alazur4kry5ewtlak__p004.png,1744960744_411oonsmnh1alazur4kry5ewtlak.pdf,4,pdf,1654,2339,29ee87b6353894377c470782c5144fd54dc9996a70c05399cff7fc73737e077b,0.000000,dup_006,review,exact_duplicate;low_content,yes
images/1744960745-kaoos42fgwc6vqb7l0rmv274vmpb__p001.png,1744960745_kaoos42fgwc6vqb7l0rmv274vmpb.pdf,1,pdf,1654,2339,f2724bfff52896a66c1f28674067b45354a9e9afde25bbd809e317b48fa50385,0.114340,,keep,,yes
images/1744960746-ysb43bndbsdfns9yupbwzx8bped7__p001.png,1744960746_ysb43bndbsdfns9yupbwzx8bped7.pdf,1,pdf,1654,2339,7901da623f17948c585594976e73bec0b96340bf2ea30e3496864beeb5951bd0,0.059335,,keep,,yes
images/1744960747-6bewzpi4exlqyeyqq909y2u2pcax__p001.png,1744960747_6bewzpi4exlqyeyqq909y2u2pcax.pdf,1,pdf,1654,2339,579c1b40c0a6404441916cafe233df901a6ef7154691fd8fc28377f6afcc8362,0.058862,,keep,,yes
images/1744960748-zwkfvfnjf0n83w7gy8le6e9gn2pe__p001.png,1744960748_zwkfvfnjf0n83w7gy8le6e9gn2pe.pdf,1,pdf,1654,2339,eb0100498e2f83747ba6bac2147c2e7b812da2a10a1accda4b816b836a7d239b,0.052671,,keep,,yes
images/1744960749-rwpt8a81f4iq6hfiuetppz1ai3wj__p001.png,1744960749_rwpt8a81f4iq6hfiuetppz1ai3wj.pdf,1,pdf,1654,2339,b0f305121c174c4ed4ef6c64a306144df33db97f7d5973645501a10a5e5dd035,0.224502,,keep,,yes
images/1744960749-rwpt8a81f4iq6hfiuetppz1ai3wj__p002.png,1744960749_rwpt8a81f4iq6hfiuetppz1ai3wj.pdf,2,pdf,1654,2339,29ee87b6353894377c470782c5144fd54dc9996a70c05399cff7fc73737e077b,0.000000,dup_006,review,exact_duplicate;low_content,yes
images/1744960750-ayk0zuf4umxveqb1nigodse7xfmw__p001.png,1744960750_ayk0zuf4umxveqb1nigodse7xfmw.pdf,1,pdf,1654,2339,f0db175affcc4133faa1e73ef93b92ee3e79744e8442d3601daa0c66f4323be5,0.214157,,keep,,yes
images/1744960750-ayk0zuf4umxveqb1nigodse7xfmw__p002.png,1744960750_ayk0zuf4umxveqb1nigodse7xfmw.pdf,2,pdf,1654,2339,29ee87b6353894377c470782c5144fd54dc9996a70c05399cff7fc73737e077b,0.000000,dup_006,review,exact_duplicate;low_content,yes
images/1744975609-64pchbz57okh2hexqsk4a2t56jfn__p001.png,1744975609_64pchbz57okh2hexqsk4a2t56jfn.pdf,1,pdf,1654,2339,5cc49be86b132eee0f819c265f196da37fed9b08c72a089d92b44dba1a106b2e,0.050772,,keep,,yes
images/1744975611-js9ieumkidzj95q78iu3jm6evnnw__p001.png,1744975611_js9ieumkidzj95q78iu3jm6evnnw.pdf,1,pdf,1655,2339,9bb97232c3c7e7888feeb91f57deea08f9fb0c055c88d19611ac2ad41f3dda0d,0.140420,,keep,,yes
images/1744975612-tw5xdjhq1wlzoganjaj366w2ojmr__p001.png,1744975612_tw5xdjhq1wlzoganjaj366w2ojmr.pdf,1,pdf,1654,2339,998dc475cf9640fdc0299a58105402f2659924b70d51f60fb40bd7852e98c097,0.087429,,keep,,yes
images/1744975612-tw5xdjhq1wlzoganjaj366w2ojmr__p002.png,1744975612_tw5xdjhq1wlzoganjaj366w2ojmr.pdf,2,pdf,1654,2339,d4a059ec0d0158d72a3310855d393294bf0803f499bb31a22c3a66a558eb1297,0.036264,,keep,,yes
images/1744975613-zea0moeyd5l6xdsslajdyj51ybq4__p001.png,1744975613_zea0moeyd5l6xdsslajdyj51ybq4.pdf,1,pdf,1653,2339,6ad9b9285ca6521fac046c7d55e4bc82b7a29644ba07c7baae49dd67d96858e9,0.103842,,keep,,yes
images/1744975613-zea0moeyd5l6xdsslajdyj51ybq4__p002.png,1744975613_zea0moeyd5l6xdsslajdyj51ybq4.pdf,2,pdf,1653,2339,8e8bde8fad5712969edc7aee4612fc01c331c69fcf241fb3c3374b515ffa16c2,0.231220,,keep,,yes
images/1744975613-zea0moeyd5l6xdsslajdyj51ybq4__p003.png,1744975613_zea0moeyd5l6xdsslajdyj51ybq4.pdf,3,pdf,1653,2339,b050826188c276eaf417f3a3cceb04c15d4372f0941b1190846e45ed8ed53f66,0.083155,,keep,,yes
images/1744975613-zea0moeyd5l6xdsslajdyj51ybq4__p004.png,1744975613_zea0moeyd5l6xdsslajdyj51ybq4.pdf,4,pdf,1653,2339,2551226378eaa972bcc382c63e4096eadd2fa89b9ef4d92de7d9ac1a3c4dcbfd,0.000000,dup_007,review,exact_duplicate;low_content,yes
images/1744975615-q4g13uqrk7vd7xdcx7cfv2804iub__p001.png,1744975615_q4g13uqrk7vd7xdcx7cfv2804iub.pdf,1,pdf,1654,2339,59215e876d51cc7561111a0591e42c4d5a489076e06b905b45c12d8ab5ab096b,0.247342,,keep,,yes
images/1744975615-q4g13uqrk7vd7xdcx7cfv2804iub__p002.png,1744975615_q4g13uqrk7vd7xdcx7cfv2804iub.pdf,2,pdf,1654,2339,172e38e68159c26f06251fb49d9dc4d24b44135145cb64a9407f492af0b03235,0.108196,,keep,,yes
images/1744975615-q4g13uqrk7vd7xdcx7cfv2804iub__p003.png,1744975615_q4g13uqrk7vd7xdcx7cfv2804iub.pdf,3,pdf,1654,2339,8d6d6b3ccec97392253db5596e7ee3d593d7d5a36abde4aedfa566ea6871e33c,0.197143,,keep,,yes
images/1744975615-q4g13uqrk7vd7xdcx7cfv2804iub__p004.png,1744975615_q4g13uqrk7vd7xdcx7cfv2804iub.pdf,4,pdf,1654,2339,468cf29f51754684d9f3a65bec7f861e28ece16d39442974258a36a720e8ec70,0.113740,,keep,,yes
images/1744975616-yg0ca26qc3fg8ou08i49my0d3574__p001.png,1744975616_yg0ca26qc3fg8ou08i49my0d3574.pdf,1,pdf,1653,2339,94845bbbd3de91e573e63c736859aa2796031c04f14b12d18e9adfbbb5dad4d2,0.177876,,keep,,yes
images/1744975617-94e2m2plgqkcmp5obj8s9sd7b2u6__p001.png,1744975617_94e2m2plgqkcmp5obj8s9sd7b2u6.pdf,1,pdf,1653,2339,4db6d4ca33ba9ce455eda76ff73e1f087578fa7f225b7550a1b64f9c1f4f6755,0.067462,,keep,,yes
images/1744975619-odgvbavxfzh1wwq9ng91p3cikunh__p001.png,1744975619_odgvbavxfzh1wwq9ng91p3cikunh.pdf,1,pdf,1653,2339,e28e83ce55f8eab81e18a6572d6b7141c0b48a1dc5ca2f8257d927536957fb53,0.142744,,keep,,yes
images/1744975619-odgvbavxfzh1wwq9ng91p3cikunh__p002.png,1744975619_odgvbavxfzh1wwq9ng91p3cikunh.pdf,2,pdf,1653,2339,42eb8b06105b7dc7bae514847cb319f66579c8360910563155a4a21137787493,0.143422,,keep,,yes
images/1744975619-odgvbavxfzh1wwq9ng91p3cikunh__p003.png,1744975619_odgvbavxfzh1wwq9ng91p3cikunh.pdf,3,pdf,1653,2339,1e4b64dd2adca06671746745125687601f37fce0e08999becca6f0c6b0d4a4c1,0.141668,,keep,,yes
images/1744975619-odgvbavxfzh1wwq9ng91p3cikunh__p004.png,1744975619_odgvbavxfzh1wwq9ng91p3cikunh.pdf,4,pdf,1653,2339,51505dd4890c0616a19bdcdba1dc6fc1d039b91b217f097a8915547eb0b0199d,0.144550,,keep,,yes
images/1744975619-odgvbavxfzh1wwq9ng91p3cikunh__p005.png,1744975619_odgvbavxfzh1wwq9ng91p3cikunh.pdf,5,pdf,1653,2339,4b16bba416c9bd84b2c2e936c22e0ef4ff9c96243ce6a6087f8372111963f194,0.142336,,keep,,yes
images/1744975619-odgvbavxfzh1wwq9ng91p3cikunh__p006.png,1744975619_odgvbavxfzh1wwq9ng91p3cikunh.pdf,6,pdf,1653,2339,60f6512cbd1c9577cbbdd3fce3df98c77c3aba86687381253d384ef89a118bf9,0.144833,,keep,,yes
images/1744975619-odgvbavxfzh1wwq9ng91p3cikunh__p007.png,1744975619_odgvbavxfzh1wwq9ng91p3cikunh.pdf,7,pdf,1653,2339,19bf0d2acb0387f6d23722d7fb0fd18ed71baee2b8ff5fab1b64e7465d482d29,0.143623,,keep,,yes
images/1744975619-odgvbavxfzh1wwq9ng91p3cikunh__p008.png,1744975619_odgvbavxfzh1wwq9ng91p3cikunh.pdf,8,pdf,1653,2339,458f3fc83083511431a154e2edd24fad46e21e457d9782d8e4924dc858783f89,0.144162,,keep,,yes
images/1744975619-odgvbavxfzh1wwq9ng91p3cikunh__p009.png,1744975619_odgvbavxfzh1wwq9ng91p3cikunh.pdf,9,pdf,1653,2339,bba63f03e9d3729a1a431529851bb09b5065ef05dd8857bf5ddb49a0e0815321,0.142111,,keep,,yes
images/1744975619-odgvbavxfzh1wwq9ng91p3cikunh__p010.png,1744975619_odgvbavxfzh1wwq9ng91p3cikunh.pdf,10,pdf,1653,2339,b3635eb82c1fa4baf95332aa1be6ddc854e4dcaff25f105d9c6b979e6773f651,0.142622,,keep,,yes
images/1744975619-odgvbavxfzh1wwq9ng91p3cikunh__p011.png,1744975619_odgvbavxfzh1wwq9ng91p3cikunh.pdf,11,pdf,1653,2339,055a8c33f6af2df83f2572172048fecf1603966eb0d2d8e422b7d5a398eaf239,0.075630,,keep,,yes
images/1744975619-odgvbavxfzh1wwq9ng91p3cikunh__p012.png,1744975619_odgvbavxfzh1wwq9ng91p3cikunh.pdf,12,pdf,1653,2339,090975bf17363367a99b6a7a2016bca3b24779a46411d6b11f19d04e2a1041e0,0.110424,,keep,,yes
images/1744975619-odgvbavxfzh1wwq9ng91p3cikunh__p013.png,1744975619_odgvbavxfzh1wwq9ng91p3cikunh.pdf,13,pdf,1653,2339,99631b88bf793cbec831caf6da6614b6e22cc0bef6f96af7297a1844dc5f237e,0.061686,,keep,,yes
images/1744975619-odgvbavxfzh1wwq9ng91p3cikunh__p014.png,1744975619_odgvbavxfzh1wwq9ng91p3cikunh.pdf,14,pdf,1653,2339,c01c72bf7437a82057a64e34d9c1678bbedfcce8934ec424504858290306d2fa,0.052165,,keep,,yes
images/1744975619-odgvbavxfzh1wwq9ng91p3cikunh__p015.png,1744975619_odgvbavxfzh1wwq9ng91p3cikunh.pdf,15,pdf,1653,2339,cd892aeabe0bc206acc044f62ab1847d30ab8f32c7bb70e081b6b399e3fd215d,0.073599,,keep,,yes
images/1744981237-gclupqu0wj4einqk0ekahp0u5eem__p001.png,1744981237_gclupqu0wj4einqk0ekahp0u5eem.pdf,1,pdf,1654,2339,55046d6b6b06b73614b53763d5f5d57fd2df4ba2cbb51ad085b16c8c852ebd27,0.484533,,keep,,yes
images/1744981237-gclupqu0wj4einqk0ekahp0u5eem__p002.png,1744981237_gclupqu0wj4einqk0ekahp0u5eem.pdf,2,pdf,1654,2339,dcc7a47b78d2dbecaf4a31bb747e79e6b8ac9d7a239de9230a7e0ca49536a55d,0.475464,,keep,,yes
images/1744981244-vb82i8aqvy7mmqe52m4wugj7ixtd__p001.png,1744981244_vb82i8aqvy7mmqe52m4wugj7ixtd.pdf,1,pdf,1653,2339,76df47fd13068e81084815dd5e3f085a17202e371e3aebbcd156f8680b3d3a0a,0.101160,,keep,,yes
images/1744981246-3umat880hnooyarwhxvq7ae0cjdp__p001.png,1744981246_3umat880hnooyarwhxvq7ae0cjdp.pdf,1,pdf,1653,2339,395d2cfc862d51ac3468d3093236dd659dbdfc1f7c949d7fd4e3a5c9add6498b,0.077444,,keep,,yes
images/1750239730-4gjc58sf7t6x4t519p3972mc1pyc__p001.png,1750239730_4gjc58sf7t6x4t519p3972mc1pyc.pdf,1,pdf,1653,2339,89cd9567aa9a1c35ed9d9f6ce108e9ecb40bf07b00be6c0024d45dda89d50590,0.041181,,keep,,yes
images/1750239731-uoaxw2n6enq9rcrtl6ufd138l0oe__p001.png,1750239731_uoaxw2n6enq9rcrtl6ufd138l0oe.pdf,1,pdf,1653,2339,b0dda755e171645b2fc5167b8669fbb1893d674a688e8f128ff6a09eaf8f2ffa,0.038227,,keep,,yes
images/18-10-tf87261428-20251031fac003742-f5z00541-oc__p001.png,18-10  TF87261428_20251031FAC003742_F5Z00541_OC.pdf,1,pdf,1653,2339,1208e1b565ca7edb4598b2ebeebf14bc842398ec087b5f2ae8f709f1d557f30f,0.056634,,keep,,yes
images/18-10-tf87261428-20251031fac003742-f5z00541-oc__p002.png,18-10  TF87261428_20251031FAC003742_F5Z00541_OC.pdf,2,pdf,1653,2339,fe5976ef10addc875ed6d66eba51bcc56510d580c914bd169367b968047ec394,0.011916,,keep,,yes
images/18-10-tf87261428-20251031fac003742-f5z00541-oc__p003.png,18-10  TF87261428_20251031FAC003742_F5Z00541_OC.pdf,3,pdf,1653,2339,eeb8a5dcda703716d14c07ee99d455991fc5801ed2a6ee011f068cf06400b01e,0.056379,,keep,,yes
images/18-10-tf87261428-20251031fac003742-f5z00541-oc__p004.png,18-10  TF87261428_20251031FAC003742_F5Z00541_OC.pdf,4,pdf,1653,2339,598f5dac2ac63f62612cb3bfc29850f61285921c02438284dc6f346b73684762,0.017379,,keep,,yes
